,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
1,0,46.5725240888,50.2891638427,51.9807656735,56.5862174032,56.48893697,53,49.8497743225,53.8702144046,51.778373864,48.1559965113,45.4642716867,49.1731634126,48.8466989673,49.3457191659,49.7493718553,49.5580467735,49.264591747,49.0509938737,49.537864306,54.1387107346,49.4873721266,49.7795138586,42.6966040804,49.5580467735,49.6588360717,50.7247474119,51.3906606301,62.1047502209,56.709787515,53.7215040743,60.4814021001,51.0098029794,51.1761663277,43.577517139,56.7626637853,58.2065288434,53.0188645672,59.640590205,53.2165387826,60.2245796997,51.5072810387,51.9711458407,56.5331761004,68.3593446429,48.6518242207,52.6592821827,55.5697759578,69.2026011072,135.8602222875,51.8941229813,62.8967407741,52.8866712887,59.5231047577,63.7651942677,51.3906606301,46.3033476112,51.9326486904,52.697248505,55.0999092558,50.6162029394,58.9491306128,52.0480547187,57.5673518585,59.908263203,50.0299910054,49.3659801888,50.0799361022,53.5723809439,52.697248505,54.0370243444,54,53.3197899471,53.0659966457,55.6686626389,50.1796771612,55.8121850495,57.4891294072,56.2761050536,53.8702144046,57.4543296889,50.2394267483,49.8598034493,56.231663678,56.6303805391,51.8844870843,62.9285308902,83.1023465373,56.2938717802,50.4380808517,53.7494186015,68.3447144994,61.4410286372,53.9166022668,51.1175116765,52.7920448553,56.3205113613,59.640590205,56.1070405564,50.4777178565,49.0509938737
2,46.5725240888,0,20.5426385842,25.5147016443,42.3674403286,35.8887168899,27.9284800875,18.8148877222,33.4514573674,26.1151297144,20.7364413533,35.9722114972,20.3715487875,25.1992063367,16.0623784042,18.1107702763,16.3401346384,17.378147197,15.4596248337,16.9410743461,29.6647939484,16.4316767252,19.8242276016,25.13961018,17.691806013,17.9164728672,21.2602916255,23.622023622,43.0348695827,35.7071421427,27.440845468,42.2492603486,21.0950231097,21.6333076528,21.2602916255,35.1140997322,38.8458491991,28.4604989415,39.4968353163,27.1108834235,39.1152144312,23.3666428911,24.8596057893,35.7631094845,51.205468458,21.1660104885,29.0516780927,32.9089653438,53.310411741,129.2865035493,26.3438797446,46.1410879802,26.7955220139,38.5486705348,47.9270278653,24.9799919936,19.8746069144,27.6043474837,26.0384331326,34.3656805549,20.760539492,39.0128184063,25.4558441227,36.5650105976,39.1407715816,20.3469899494,18.3303027798,21.5638586528,29.5127091267,27.2396769438,29.6816441593,28.930952283,27.4226184016,27.8747197295,31.5277655409,20.0249843945,34.4963766213,36.3593179254,33.8230690506,29.6479341607,38.7040049607,19.8242276016,17.9164728672,34.3947670438,33.4664010614,23.8956062907,43.5086198356,69.1447756523,33.6154726279,23.8956062907,29.8328677804,56.1070405564,45.2769256907,29.3598365118,21.8632111091,26.3438797446,34.8281495345,40.7430975749,32.4499614792,20.4694894905,14.9331845231
3,50.2891638427,20.5426385842,0,26.7394839142,44.4634681508,36.6606055596,28.8097205818,18.4390889146,35.65108694,27.2029410175,22.4499443206,39.1407715816,21.9317121995,27.3678643668,15.748015748,17.7763888346,16.2788205961,17.6635217327,15.2643375225,16.5831239518,29.1547594742,16.1864140562,19.6214168703,28.1424945589,17.4068951855,17.7482393493,20.9284495365,23.4093998214,43.8178046004,35.7071421427,27.3313007374,42.3438307195,20.6639783198,21.2132034356,24.6170672502,34.9714169001,39.9374510954,29.8998327755,38.9871773792,27.1108834235,39.4208066889,24.2074368738,25.495097568,37.5898922584,52.2111099288,22.4053565024,30.6267856622,33.1813200461,53.777318639,129.780584064,26.83281573,47.191100856,27.5317997959,39.2173431023,49.6286207747,25.5734237051,22.7815714998,27.8208554865,25.8843582111,36.235341864,20.4205778567,39.471508712,26.1916017074,37.2424488991,39.3700393701,20.9284495365,19.0262975904,22.6936114358,30.4795013083,27.0924343683,30.0499584026,29.206163733,28.7749891399,29.2745623366,31.7175030543,19.9248588452,36.0555127546,36.823905279,34.5543050863,30.61045573,39.4461658466,19.6723155729,17.5214154679,35.8468966579,33.9705755029,24.062418831,43.6004587132,68.9420046126,32,25.903667694,30.166206258,57.0613704707,45.9565011723,29.4618397253,22.1810730128,26.1533936612,35.2845575288,41.6413256273,32.511536414,19.7737199333,14.5945195193
4,51.9807656735,25.5147016443,26.7394839142,0,46.1519230369,39.7366329726,32.511536414,25.3574446662,36.6878726557,31.0322412984,27,41.7731971484,27.3130005675,31.0483493925,23.7276210354,25.1594912508,24,24.5560583156,23.5372045919,24.3310501212,33.7490740614,24.0208242989,26.2678510731,32.6036807738,24.7386337537,24.7386337537,27.946377225,29.0688837075,46.7225855449,39.5979797464,32.6190128606,46.0434577329,27.0924343683,27.7308492477,29.2403830344,38.6781592116,42.5675933076,33.331666625,42.4617474911,31.5911379979,42.5558456619,29.3428015022,30.2489669245,39.3700393701,54.5068802996,27.946377225,34.0440890611,37.0675059857,56.0089278598,130.1460717809,31.0322412984,49.0917508345,32.1714158843,42.4146201209,50.9509568114,30.2820078595,28,32.4499614792,30.9030742807,38.7298334621,27.0185121722,42.6966040804,30.7408522979,40.5462698654,43.0929228528,27.1108834235,25.2784493195,26.3438797446,34.6410161514,31.384709653,34.7275107084,33.7342555869,32.939338184,32.8329103188,36.0416425819,26.3818119165,38.8715834512,40.0124980475,36.1524549651,34.9571165859,42.2492603486,26.4575131106,24.9399278267,38.9358446679,37.5366487582,29.9666481275,46.7760622541,71.2741187248,37.9341534768,29.6310647801,34.597687784,58.4037670018,48.6312656632,33.4215499341,28.0178514522,31.4165561448,38.1313519299,44.1701256507,36.823905279,26.8700576851,23.0651251893
5,56.5862174032,42.3674403286,44.4634681508,46.1519230369,0,51.1370707022,47.4868402823,43.6004587132,49.1121166312,46.5295604965,41.3884041731,44.9110231458,44.6766158074,44.3846820423,43.0232495286,43.7378554573,42.8018691181,43.3935479075,42.7083130081,43.2666153056,48.3838816136,43.3243580449,43.931765273,46.3141447076,43.6348484585,43.6119249747,44.7101778122,45.9673797382,56.3471383479,52.1344415909,47.1168759576,55.2810998443,44.8330235429,44.5533388199,43.3935479075,51.4587213211,53.9258750509,47.9478883789,54.3966910758,47.3286382648,55.5067563455,45.5741154604,46.4004310325,51.8652099196,63.7259758654,44.3734154647,48.0728613669,51.0881590978,64.5213143078,133.940285202,46.3141447076,59.3295878968,47.4236228055,55.3263047745,60.049979184,46.2925479964,40.4969134626,47.2122865365,47.2969343615,50.2394267483,44.8107130048,55.054518434,46.7439835701,53.1036721894,54.5618914628,44.1474801093,43.6692111218,44.6542271235,48.2700735446,46.8081189539,48.8057373676,48.8057373676,47.3814309619,48.0832611207,50.5470078244,44.3621460256,51.0587896449,52.8677595515,51.4490038776,48.8057373676,54.3415126768,44.1588043316,43.8406204336,51.9615242271,51.3906606301,45.9565011723,57.9482527778,79.5738650563,50.8822169328,44.6766158074,48.9591666596,65.8710862215,58.3009433886,48.4458460552,45.4642716867,46.9361268108,50.6951674225,55.0181788139,49.0917508345,44.2718872424,42.7784992724
6,56.48893697,35.8887168899,36.6606055596,39.7366329726,51.1370707022,0,24.0416305603,36.1386219992,43.8063922276,39.1152144312,36.7423461417,47.1593044902,37.1887079636,39.5853508258,34.6698716467,35.6931365951,35.0856095857,35.5527776693,34.5687720349,35.4541958025,42.1663372846,35.1567916625,36.3730669589,41.3521462563,35.7351367704,35.7631094845,36.9864840178,38.3666521865,52.4404424085,46.5510472492,41.3642357599,51.8169856321,36.8103246386,37.3363094052,38.6781592116,46.6797600679,49.264591747,41.7612260356,49.7594212185,40.7062648741,49.8998997995,38.8587184555,39.3700393701,47.2122865365,60.049979184,36.9052841745,42.3083916026,44.7325384927,60.6630035524,132.6913712342,39.7743636027,54.9272245794,41.1096095822,49.274739979,56.7538544947,39.2428337407,37.1887079636,40.8900966005,39.7743636027,46.1410879802,37.1079506306,49.4772675074,39.7240481321,46.5939910289,49.8196748283,37.094473982,35.6651090003,36.8646171823,41.5571895104,40.9389789809,42.6966040804,42.4146201209,40.2243707222,41,43.382023927,36.6469644036,45.9782557303,47.1168759576,45.3872228716,42.0119030752,48.9285192909,36.5650105976,35.7910603363,45.1774279923,45.607017004,38.6134691526,52.7920448553,75.5579247995,45.519226707,38.2230297072,42.4499705536,63.0713881249,54.5160526818,42.1426150114,37.9736750921,39.8998746865,45.3100430368,50.1597448159,44.821869662,36.2629287289,34.4528663539
7,53,27.9284800875,28.8097205818,32.511536414,47.4868402823,24.0416305603,0,27.4954541697,38.4317577012,32.8329103188,29.0860791445,42.5440947724,29.0344622819,33.3616546352,25.7681974535,27.0924343683,25.9422435421,26.83281573,25.5929677841,26.5518360947,36.0832371053,26.2678510731,28.0535202782,34.1760149813,27.0739727414,26.9629375254,29.3938769134,30.886890423,48.1040538832,41.1460812229,34.3365694268,47.0425339454,28.8617393793,29.5972971739,30.9838667697,40.7553677446,43.920382512,34.9857113691,44.4971909226,33.5111921602,44.0454310911,31.336879232,32.0312347561,41.3884041731,55.5517776493,29.6310647801,35.8050275799,38.3796821248,56.0713830755,131.015266286,32.9241552663,50.5272203866,33.5857112475,43.6119249747,52.0096144958,32.1247568084,29.478805946,33.8526217596,32.6802692767,40.1870625948,28.930952283,44.2040722106,32.8024389337,40.9023226724,44.4072066223,28.8097205818,27.4590604355,29.3768616431,35.4259791678,33.8230690506,35.902646142,35.1710107901,33.5559234711,34.2490875791,36.8781778292,28.4429253067,40.3732584764,41.3037528561,39.2683078321,35.6230262611,43.4741302386,28.4429253067,27.0370116692,39.4841740448,39.3700393701,31.3528308132,47.9478883789,72.1456859417,39.7743636027,31.5436205912,36.0555127546,59.0931468108,49.7393204618,35.5527776693,30.2654919008,33.1662479036,40.162171256,45.2106182218,38.4837628098,28.4780617318,25.2388589282
8,49.8497743225,18.8148877222,18.4390889146,25.3574446662,43.6004587132,36.1386219992,27.4954541697,0,34.7419055321,26.3058928759,21.3072757527,38.6005181312,20.4205778567,26.2868788562,13.638181697,16,14.1067359797,15.8745078664,13.0766968306,14.7986485869,28.4253408071,14.1421356237,18.0277563773,27.0924343683,15.3948043183,15.5884572681,20.1494416796,22.4499443206,43.4281015012,35.5387112878,26.2488094968,41.5571895104,19.4164878389,20.2484567313,23.5796522451,34.684290392,39.6106046407,28.9136645896,39.3192065027,26.4386081328,38.6781592116,22.9782505862,24.248711306,36.8917334914,51.4975727583,21.5870331449,29.6984848098,32.9089653438,53.2916503779,129.5492184461,25.2982212813,46.5725240888,25.9229627936,38.1575680567,49.2848861214,24.7386337537,21.5174347914,27.4590604355,25.0599281723,35.9304884464,19.1572440607,38.9871773792,25.2982212813,36.6196668472,38.7556447502,19.287301522,17.6635217327,19.5703857908,29.2745623366,25.8069758011,29.0688837075,28.3019433962,27.8567765544,28.0891438104,30.8220700148,18.08314132,35.2703841771,35.721142199,33.2565782966,29.4108823397,38.4707681233,18.3575597507,15.6524758425,35.2278299076,33.3166624979,23.3452350599,43.0929228528,68.7386354243,33.2264954517,23.5159520326,29.3598365118,56.7274184147,45.607017004,28.4253408071,20.4939015319,25.179356624,35,41.2310562562,32.2024843762,18.574175621,12.2065556157
9,53.8702144046,33.4514573674,35.65108694,36.6878726557,49.1121166312,43.8063922276,38.4317577012,34.7419055321,0,37.509998667,34.3074335968,44.8887513749,35.7491258634,36.8510515454,33.6897610558,34.5398320783,33.7045990927,34.3365694268,33.5261092285,34.1467421579,41.0731055558,33.9852909359,34.8998567332,39.1535439009,34.4963766213,34.4093010682,36.1247837364,37.483329628,52.0288381573,44.7660585712,40.3484820037,50.5766744656,36.2767142944,36.5923489271,35.5949434611,44.8330235429,46.3680924775,38.3796821248,46.914816423,38.3144881213,48.1559965113,36.9729630947,37.4566416007,43.2666153056,59.0508255658,36.1247837364,39.3573373083,41.7133072292,59.9416382826,131.1868895889,38.8200978876,51.9807656735,39.5347948015,48.5489443758,53.0282943343,36.6469644036,33.9705755029,38.1968585096,39.102429592,41.7133072292,36.2767142944,48.218253805,37.7491721764,44.9666543118,48.754486973,35.1140997322,33.3916157141,32.403703492,40.2988833592,39.2810386828,41.400483089,41.1582312545,39.6106046407,39.6232255123,42.9068759058,35.2136337233,43.1856457634,45.9238500128,41.0974451761,40.8166632639,46.9574275275,35.4964786986,34.6121365998,43.5660418216,44.5533388199,37.3630833845,52.516664022,75.2196782764,44.4634681508,34.4963766213,40.533936399,60.0416522091,52.3163454381,41.4366987102,36.9459064038,38.7427412556,43.931765273,47.8225888049,44.0454310911,35.8608421541,33.3466640011
10,51.778373864,26.1151297144,27.2029410175,31.0322412984,46.5295604965,39.1152144312,32.8329103188,26.3058928759,37.509998667,0,28.1424945589,42.1188793773,28.2665880502,32.6343377442,24.3721152139,25.8069758011,24.6779253585,25.0199920064,23.5584379788,25.0399680511,34.5543050863,24.819347292,26.4764045897,33.406586177,25.5147016443,25.8650343128,27.3130005675,29.3257565972,46.5617869073,40.1123422403,32.2955105239,44.4859528391,27.9821371593,28.2488937837,29.4957624075,39.5347948015,42.6966040804,33.0151480384,43.4050688284,31.8276609257,43.520110294,30.0998338866,30,40.0874045057,54.4609952168,28.8790581564,34.263683398,37.5366487582,55.6776436283,130.6636904423,31.0483493925,49.7493718553,33.0756708171,42.9651021179,51.4101157361,30.5614135799,27.5136329844,32.7108544676,31.7175030543,38.0131556175,27.6947648483,42.8952211791,30.5941170816,39.8873413504,42.9651021179,26.7581763205,25.5734237051,27.5862284483,31.6701752442,32.6190128606,34.597687784,33.7786915081,30.2985148151,31.6701752442,35.2136337233,27,37.4432904537,39.1918358845,37.762415177,32.1714158843,42.4735211632,26.6270539114,25.4754784057,36.2629287289,38.0788655293,28.6879765756,46.3357313528,71.3512438574,38.1575680567,30.2489669245,34.8137903711,57.9655069848,49.0917508345,35.0142828,28.2488937837,31.6859590355,39.4841740448,43.7721372565,37,27.3678643668,23.6854385647
